순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
11,10608002,미술감상 및 비평,이근범,95.4,미술·디자인학부(회화·조소),교양,인간과예술,"사람의 마음이 시간과 공간을 뛰어넘어 작가의 감정과 생각에 공감하는 순간, 미술관은 치유의 장으로 변한다. 우리들이 미술관에 가는 이유다. 예술을 통해 우리의 정신이 영원히 존재할 수 있다는 것은, 세상에 잠시 있다가 가는 인간이라는 존재에게 참으로 다행스런 위안이 된다. 수백, 수십년의 세월을 지내온 작품들이 우리에게 말을 전하기 때문이다. 화가가 그림에 풀어놓은 생각과 감정은 그들의 인생과 당대의 사회적 배경과 혼합되어 담겨있다. 이것은 우리의 인식체계가 발전해온 과정이기도 하다. 주변의 어린아이들이 글과 말보다는 그림을 통해 표현하는 방법을 먼저 배우는 것을 보면서 인간의 시선이 내면으로 향하고, 그 움직임이 조형으로 드러난다는 것을 알수있다. 이 강의는 작품을 통해 펼쳐지는 인간의 내면의 세계와 당대의 사회적 배경에서 받아들이는 인식의 촉매로 작용되는 표현들을 여행하는 시간이 될 것이다.","이 강의에서 소개하는 그림들은 일상 생활에서 섣불리 말하지 못하는 사실 혹은 진실일 수도 있다. 그림이라는 예술이 진실 혹은 진리라는 것을 드러내는 방식이라고 볼때, 그것은 은폐와 탈은폐의 변주로 나타난다. 그러다 보니 그림들의 섹슈얼하고, 애로틱하고, 폭력적이고, 관음적이고, 탈주적인 것에 초점을 맞추는 것도 흥미로울 것이다. 강의의 내용은 작가의 작품을 보면서 정신분석학에서의 심리학적인 측면으로 접근한다. 눈에 보이는 혹은 보이지 않는 것들을 분석한다. 이 강의의 목표는 학생들이 미술에 흥미를 느끼게 하는 것이다.",
12,10608009,미술감상 및 비평,변청자,76.8,미술·디자인학부(회화·조소),교양,인간과예술,"<미술감상 및 비평> 수업은 수강생이 미술의 중요 쟁점별 라이벌 대전을 보고 있는 것 같은 흥미로움을 느낄 수 있도록 구성한 수업이다. 미술은 인류의 삶이 시작된 이래 지금까지 지속되어 왔지만, 표현 방법이나 재료와 형식은 시대마다 변화해 왔다. 그러한 점에서 미술은 단순히 잘 그린 그림이나 잘 만든 공예품과 같은 결과물로서의 가치와 더불어 그 시대의 사상과 역사, 감정과 문제해결 방식이 집결한 가장 창의적인 인간 활동이며, 미술 작품은 인간이 고안해 낸 최고의 발명품이고, 그것을 감상하고 그에 대한 자신의 느낌과 생각을 표현하는 것 역시 창의적 활동이라는 점에서 넓은 의미의 예술 활동이다. 본 수업에서는 미술, 미술가, 미술 작품이 무엇인지에 대한 이해를 증진하고, 그것을 바탕으로 수강생 각자가 자신만의 감상과 비평 활동을 할 수 있는 능력을 고양하는 것을 목적으로 한다. 특히, 세계 여러 지역의 미술관이나 박물관이 언제 어떻게 건립되었는지, 이들 미술관의 소장품을 통해 미술의 변화 양상은 물론 각 시대와 지역의 역사와 사회 문화를 이해할 수 다양한 시각자료와 정보를 교수자의 풍부한 해설과 함께 이미지와 동영상으로 제시한다.",- 미술작품을 통해 문화 전반에 대한 이해력을 고양하고 연관 분야에서 적용할 수 있는 지식 습득 및 응용 역량 강화 - 예술작품의 분석과 해석을 통해 사회와 문화에 대한 통찰력 증진 - 박물관과 미술관을 직접 방문한 생생한 경험을 바탕으로 현장감 넘치는 미술여행(Art Tour)을 간접 경험 - 예술가의 삶과 그들의 작품 제작 및 감상 과정의 사례 학습을 통해 창의적 사고 능력 배양 - 미술과의 유쾌한 만남이라는 경험의 축적을 통해 문화적 삶에 대한 지향성 확대,
13,11373001,아시아사상의 이해,이은용,86.4,자유전공학부,교양,인간과예술,"동양철학은 현대사회에서 중요한 인문학의 과제이다. 현대사회는 정보화사회로 매우 복잡하고 개인주의가 팽대하다. 또한 대학생활도 마찬가지이다. 공자,맹자,순자 유가의 성현과 도가의 노자,장자 사상, 법가의 한비자 등을 배우고 익히고, 앞으로 사회생활에 필요한 의사 소통과 상호 간의 소통을 함양하고자 한다.","1. 수업내용을 명확하게 이해하도록 한다 2. 학생들이 쉽고 이해력을 높이고 수업이 재미있고, 활기있게 한다 3. 학생들의 그룹 발표력 기회를 주어 레포트 작성법, 이해력 증가, 협력하는 능력을 함양 한다.",
14,9477014,언어와마음,백경선,94.6,가천리버럴아츠칼리지,교양,인간과예술,"우리는 매일 언어로 생각하고 언어로 이야기한다. 자연스럽게 습득하고 수행되는 우리의 언어사용 능력에 대해 다음과 같은 질문들이 생길수 있다: (1) 우리는 언제부터 언어를 사용하게 되었으며, 이러한 인간만의 언어사용 능력은 어떻게 설명될 수 있을까. (2) 마음 속에서 일어나는 생각과 감정, 그리고 기억과 지식은 어떻게 언어로 표현되며, 또 우리는 어떻게 다른 사람의 언어를 통해 그의 생각과 의도를 이해할 수 있을까. (3) 생각을 표현하고 이해하도록 하는 매개체로서 언어는 어떠한 특성을 갖는가. 이 강의에서는 우리의 마음을 표현하고 이해하는 언어의 특성과 언어사용 능력 및 인지능력을 살펴보고, 이를 바탕으로 언어 처리의 심리 언어학적 기제와 뇌과학적 설명들을 다룬다.","이 강의에서는 인간의 언어 커뮤니케이션의 특성을 소개하고 마음이 어떻게 언어를 통해 표현되고 이해되는지 최신 연구 결과로서 인지및 언어 처리과정을 학습한다. 이를 위하여 언어의 구성적 특성과 산출과 수용의 대상으로서 언어라는 상징 기호적 특성을 살펴본다. 또한 최신 뇌과학 연구성과를 토대로 ""뇌""의 기본 기능과 인간의 언어 인지능력을 중점적으로 고찰하고, 어린아이가 모국어를 배우고 성인이 외국어를 습득하는 과정을 살펴봄으로써 언어습득의 원리들을 이해하게 된다. 나아가 언어발달 장애와 후천적 언어장애와 같은 비정상적인 언어사용을 통해 언어 인지능력의 상호메커니즘을 살펴본다.",
15,9477002,언어와마음,류수린,90.9,가천리버럴아츠칼리지,교양,인간과예술,"우리는 매일 언어로 생각하고 언어로 이야기한다. 자연스럽게 습득하고 수행되는 우리의 언어 사용능력에 대해 다음과 같은 질문들이 생길 수 있다. (1) 우리는 언제부터 언어를 사용하게 되었으며, 이러한 인간만의 언어 능력은 어떻게 설명될 수 있을까. (2) 마음속에서 일어나는 생각과 감정, 그리고 기억과 지식은 어떻게 언어로 표현되며, 또 우리는 어떻게 다른 사람의 언어를 통해 그의 생각과 의도를 이해할 수 있을까. (3) 생각을 표현하고 이해하도록 하는 매개체로서 언어는 어떠한 특성을 갖는가. 이 강의에서는 우리의 마음을 표현하고 이해하는 상징도구로서 언어의 특성과 언어능력과 인지능력의 상호성을 살펴보고, 이를 바탕으로 언어처리의 심리언어학적 기제와 뇌신경과학적 설명들을 배운다.","이 강의에서는 인간의 언어 커뮤니케이션의 특성을 소개하고 마음이 어떻게 언어를 통해 표현되고 이해되는지 최신 연구결과로서 인지 및 언어처리 과정을 학습한다. 이를 위하여 언어의 구성적 특성과, 산출과 수용의 대상으로서 언어라는 상징기호적 특성을 살펴본다. 또한 최신 뇌신경과학의 연구 성과를 토대로 ""뇌""의 기본 기능과 인간의 언어인지능력을 중점적으로 고찰하고, 어린아이가 인지의 발달과 함께 모국어를 습득하는 과정을 살펴보며, 제2언어로서 외국어를 습득하는 과정을 다룸으로써 언어습득의 원리들과 언어와 인지의 상호성을 이해하게 된다.",
16,5190002,언어의이해,한성일,87.2,한국어문학과,교양,인간과예술,언어의 본질과 구조에 대한 기본적 지식을 습득하고 언어의 중요성과 다양성을 이해한다. 우리 삶 속에서 구현된 언어의 모습을 파악해 본다.,"1. 언어의 중요성과 다양성을 이해한다. 2. 언어의 본질과 구조를 이해하고, 언어학이 무엇인지 이해한다. 3. 세계 언어의 특징을 이해한다. 4. 언어와 사회의 관계를 이해하고, 실제 다양한 사회 속에 구현된 언어의 모습을 이해한다. 5. 언어의 다양한 이론을 습득하고 실제 언어 생활에 적용해 본다.",
17,13467002,음악과 연극의 문화사,김화경,92.2,가천리버럴아츠칼리지,교양,인간과예술,"<음악과 연극의 문화사> 강의에서는 고대 그리스/로마의 연극전통과 중세 기독교 종교극, 르네상스 연극을 개관한 뒤 서구 주요 언어권의 르네상스 연극과 근대 고전연극, 19세기 이후의 사실주의 연극과 반사실주의 연극의 흐름을 학습한다. 세계명작 희곡의 분석을 중심으로 하면서 연극에서 분화발전한 유사 공연예술(오페라, 뮤지컬, 영화)의 자료감상을 통해 무대예술 전반에 대한 이해와 비교능력을 증진시킨다. 본 강의는 철학과 예술 및 문화를 접목시킨 교과목으로 문학과 예술을 전공하는 학생들에게는 전공을 보다 심도 있게 이해하기 위한 기초과정으로서, 다른 전공 학생들, 특히 이공계 학생들에게는 인문학적 소양을 기를 수 있는 기회를 제공한다.","전공자와 비전공자가 함께 들을 수 있는 수준의 교양강의를 제공하는 것을 목표로 하여 고대 그리스부터 연대기 순으로 강의를 진행하며, 각 시대 사조별로 예술과 문화의 이해를 위해 학생들이 기본적으로 학습해야 하는 철학적, 미학적 이론의 기초 개념을 쉽고 간략하게 소개하고, 소개된 이론을 토대로 분석할 수 있는 구체적인 작품들을 문학과 음악 분야에서 선정하여 예시한다. 이를 통해 다양한 전공의 학생들은 각자의 관심과 흥미에 따라 자신이 이해한 범위 내에서 이론과 작품을 연결시켜보고 분석할 수 있는 능력을 기르며, 전 시대와 우리 시대의 문화 현상에 대한 이해의 지평을 넓힌다.",
18,5284002,음악의이해,이재구,97.8,음악학부(작곡),교양,인간과예술,"본 수업은 음악문화사의 흐름 속에서 등장한 다양한 음악 양식(style)과 장르(genre)들을 강의와 감상 그리고 비평을 통해 하나하나 검토해 나갈수 있도록 기획되었다. 수업 시간에 검토할 대상은 서양고전음악(classical music)에만 국한되지 않으며, 대중음악(popular music)의 중요한 장르인 블루스, 재즈, 록, 그리고 뮤지컬을 포함한다.","<음악의 이해> 수업은 음악문화사 속에서 출현한 다양한 양식(style)과 장르(genre)에 대한 검토를 통해 음악에 대한 이해를 높이는 것을 목표로 한다. 이 강의를 통해 수강자들은 우선적으로 양식, 장르, 형식(form) 및 기법(technique) 등의 음악의 기본 개념들을 자신의 언어로 정의내릴 수 있게 된다. 그리고 각각의 음악 장르들이 역사 속에 등장하게된 사회문화적 배경, 음악적 특징, 그리고 후대 장르에 끼친 영향(력) 및 타 장르와의 연관성 등을 파악할 수 있게 된다. 또한 수업 시간에 진행될 각 장르를 대표하는 주요 작품들에 대한 감상 및 비평 연습을 통해 우리의 일상에서 접하게 될 다양한 음악들을 좀 더 풍성하게 향유할 수 있는 능력을 기를 수 있게 된다.",
19,5284009,음악의이해,김지영,96.4,음악학부(작곡),교양,인간과예술,서양음악의 방대한 문헌을 예술적 차원으로 접근하여 다양한 각도에서 살펴보고 분석이나 해부가 아니라 음악 그대로의 모습으로 생각하고 이해한다.,음악에 대한 전반적인 이해의 폭을 넓히고 실제 음악을 감상할 때 이해를 도와줄 수 있는 음악적 지식을 전달하고 여러 장르의 음악을 다양한 방법으로 소개함으로 음악적 사고력을 향상시킨다.,
20,5284014,음악의이해,김지현,93.4,음악학부(작곡),교양,인간과예술,"음악의 본질에 대하여 이해하고 음악사와 시대적배경 문화적인 컨텍스트에 따라 강의와 감상을 통하여 다양한 음악양식과 장르에 대하여 파악한다. 수업중 강의 내용에는 서양의 고전음악(클래식)과 재즈, 국악의 판소리가 포함된다.",음악의 다양한 양식과 형태에 대하여 배우고 음악의 기본 개념들에 대하여 이해한다. 음악의 장르들이 탄생하게 된 역사적 문화적 배경에 대하여 이해하고 각각의 음악적 특징 역사적 위치와 타 장르와의 연관성을 파악한다. 음악전반에 대한 관심과 지적 호기심을 높이고 감상을 통해 음악작품에 대한 감상 과 비평의 능력을 키운다.,
21,9480009,인간과문화의 미래학,장인모,94.4,자유전공학부,교양,인간과예술,"한국 사회 100여년의 과거를 성찰해 보고, 앞으로의 미래 100년은 어떤 방향으로 나아가야 할지 고민하고 토론해 보는 수업이다. 그동안 한국 민족이 이룩한 성과를 검토함으로써 계승, 발전시켜 나갈 가치와 정신을 확인하고, 과거 역사 중 잘못된 측면, 어두운 측면은 반성해 봄으로써 한국사회가 나아가야 할 바람직한 미래상을 모색해 보고자 한다.","1. 100여 년 동안의 과거를 통해 한국인은 사회를 어떻게 바꾸려고 노력해 왔으며 무엇을 성취했는지 살펴 본다. 2. 현재 우리에게 남겨진 과제는 무엇이며, 앞으로 한국사회가 나아가야 할 방향은 무엇인지 논의해 본다. 3. 과거에 대한 성찰과 바람직한 미래상에 관한 고민과 토의를 함으로써, 역사 발전에 능동적으로 참여할 수 있는 민주시민의 자세와 역량을 갖춘다.",
22,9170002,인간관계론,이수연,96.5,교육학과,교양,인간과예술,"본 수업은 사회에서 타인과 조화로운 삶을 영위하기 위한 인간관계의 필요성과 중요성에 입각하여 인간관계 형성 능력을 함양하는 것을 목표로한다. 이를 위해 인간관계의 개념과 본질을 이해하고 관련 이론을 습득한다. 또한, 자신에 대한 성찰, 자신의 인간관계론, 타인에 대한 자신의 이해와 태도, 타인과의 의사소통 방식과 관계형성 기술을 검토하여 바람직한 인간관계의 수립과 유지 및 효율적이고 의미있는 인간관계를 형성할 수 있는 토대를 마련한다.","1.자기의 감정, 성격, 강점과 약점, 인간관, 가치관 등 자기에 대해 탐색하고 이해한다 2.인간관계속에서의 자신의 의사소통방식을 검토하고 효과적인 언어적, 비언어적 의사소통기술을 탐색한다 3.사회와 가정에서 자신이 관계를 맺는 인간대상군을 점검하고 관계증진을 위한 방법을 모색한다",
23,13468002,인물과역사,정문상,94.4,가천리버럴아츠칼리지,교양,인간과예술,"역사상 중요 인물의 현실 인식과 세계관, 지역과 세계의 역사와 문화의 발전에 대한 기여 등을 종합적으로 학습한다. 이러한 학습 활동을 통해 일국, 지역, 세계의 역사와 문화에 대한 이해를 높이는 한편, 역사와 현실을 바라보는 사고의 지평을 확대한다.","1.역사 인물에 대한 이해를 높일 수 있다. 2.역사 인물 평가에 대한 비판적 안목을 키울 수 있다. 3.자신의 삶을 성찰하고 미래의 자기설계능력을 함양할 수 있다. 4.팀학습을 통하여 협력적 태도와 자기주도적 학습력, 발표능력을 향상할 수 있다.",
24,13468009,인물과역사,안윤아,93.8,한국학전공,교양,인간과예술,"역사상 중요 인물의 현실 인식과 세계관, 지역과 세계의 역사와 문화의 발전에 대한 기여 등을 종합적으로 학습한다. 이러한 학습 활동을 통해 일국, 지역, 세계의 역사와 문화에 대한 이해를 높이는 한편, 역사와 현실을 바라보는 사고의 지평을 확대한다.","1.역사 인물에 대한 이해를 높일 수 있다. 2.역사 인물 평가에 대한 비판적 안목을 키울 수 있다. 3.자신의 삶을 성찰하고 미래의 자기설계능력을 함양할 수 있다. 4.팀학습을 통하여 협력적 태도와 자기주도적 학습력, 발표능력을 향상할 수 있다.",
25,9809002,한국문화읽기,김규진,95.7,한국학전공,교양,인간과예술,"글로벌 시대에 살면서 ‘우리’의 것에 관심을 갖는 일은 시대에 뒤쳐진 쓸모없는 일로 여겨질지 모른다. 우리가 사는 지금 현재는 과학과 문명의 발달, 교통과 통신 수단의 발전과 인터넷의 전 지구적 확산으로 문화가 하나로 통합·평준화되고 있다고 여겨지기 때문이다. 그러나 이러한 세계화, 정보화 시대야말로 각 민족과 국가의 고유한 풍습, 역사 그리고 문화의 전통을 바로 알고 그것을 이어나가는 노력이 더욱 절실하게 요구되는 때이기도 하다. 이 강좌는 한국문화의 특징을 학습자들에게 소개하고 익히게 하는 데 목적이 있다. 수강생은 한국인과 외국인 학습자 비율이 1:1이 되는 것을 지향한다. 그리고 조를 구성할 때 내국인과 외국인 학습자의 비율을 맞추고 교수자가 부여한 과제를 함께 해결하는 과정을 통해 내국인 학습자는 우리문화의 특징을 재확인하는 시간을, 외국인 학습자는 한국문화에 관한 깊은 이해와 한국어로 보다 효과적인 의사소통을 할 수 있을 것이다.",이 과목을 수강함으로써 한국인 학습자는 ‘우리’ 문화를 배우고 확인하여 선조의 삶과 그 속에 담겨 있는 지혜를 익히고 외국인 학습자는 한국문화를 깊이 이해하여 한국어로 효과적인 의사소통을 할 수 있는 능력을 높이는 데 주안점을 둔다. 학급 구성원의 한국인 학습자와 외국인 학습자 비율이 5:5를 지향한다. 그들이 함께 해결해야 하는 과제를 부여하여 서로 교류할 수 있는 기회를 제공한다. 내국인 학습자와 외국인 학습자가 서로 교류하면서 다문화주의적 태도의 함양과 세계시민으로의 성장을 도모한다.,
26,5294002,한국미술의이해,정아현,94.6,미술·디자인학부(회화·조소),교양,인간과예술,"미술은 하나의 사회를 들여다보는 거울이며, 역사란 모든 인간의 행위가 총체적으로 반영되는 것이므로, 정치, 경제, 사회, 미술 등 모 든 현상이 결합되어 나타난다. 본 강의에서는 고대에서 현대에 이르는 우리나라 미술을 통해 큰 흐름과 시대적 양식을 살펴보면서 오늘날의 관점에서 과거의 미술을 이해하는 사고를 기른다. 특히 각 시대의 대표적인 문화현상과 미술 양식에 대한 이해를 통하여 주류적인 문화의 흐름에 대한 이해를 가지고 한국미술의 다양성과 특징을 이해하는 한편, 기층민들에게 흐르고 있었던 민속신앙과 생활상에 대한 이해를 통해서 한국미술의 다양성과 특성을 이해하고자 한다. 이를 통해 우리 역사의 전통을 올바로 이해하고, 자신의 문화적 체질을 깨달음으로써 새로운 문화 창조에 기여할 수 있는 지적 기반을 형성하도록 한다.",1. 고대부터 조선까지 한국미술의 흐름을 이해한다. 2. 한국 미술의 시대별 특징을 설명할 수 있다. 3. 한국의 주요 문화재를 미술사적으로 설명할 수 있다. 4. 새로운 문화 창조에 기여할 수 있는 지적 기반을 형성한다. 5. 미술품을 보는 안목을 기른다.,
