순번,학수번호,교과명,교수성명,점수,소속학과,구분,Unnamed: 7,outline,goal,keyword
11,13221002,소프트웨어산업세미나,최재혁,95.8,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
12,13221002,소프트웨어산업세미나,이상웅,95.6,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
13,13221002,소프트웨어산업세미나,조정찬,95.2,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
14,13221002,소프트웨어산업세미나,정윤현,95.4,AI·소프트웨어학부(인공지능전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
15,13221001,소프트웨어산업세미나,정옥란,90.6,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
16,13221001,소프트웨어산업세미나,황효석,90.0,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
17,13221001,소프트웨어산업세미나,이주형,89.0,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
18,13221001,소프트웨어산업세미나,노웅기,88.8,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
19,13221001,소프트웨어산업세미나,한명묵,88.4,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
20,13221001,소프트웨어산업세미나,최재영,89.0,AI·소프트웨어학부(인공지능전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다.'",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
21,9437001,소프트웨어수학,이주형,96.1,AI·소프트웨어학부(소프트웨어전공),전공,,"이산 수학과 컴퓨터 과학. - 이산 수학의 개념은 컴퓨터 알고리즘과 프로그래밍 언어에서 대상과 문제를 설명하는데 유용하다. - 이것들은 암호학, 자동화된 정리 증명, 그리고 소프트웨어 개발에 응용된다.","학생들에게 컴퓨터 과학의 핵심인 이산 수학의 다양한 수학적 도구를 소개합니다 - 문장을 엄격하게 쓰는 방법 - 정리, 레마 등을 읽고 쓰는 방법 - 엄격한 증명을 작성하는 방법","수학, 4/이산, 3/방법, 3/컴퓨터 과학, 2/정리, 2/증명, 2/"
22,9437002,소프트웨어수학,이상웅,91.6,AI·소프트웨어학부(소프트웨어전공),전공,,"이 과정에서는 학생들에게 HTML(Hyper TextMarkup Language), CSS(Cascading Style Sheet), JavaScript 및 PHP 코딩 실습에 대한 포괄적인 마스터를 제공합니다. 이러한 웹 사이트를 적절하게 사용하는 방법과 유연하고 사용자 친화적이며 강력한 웹 사이트를 구축하는 방법을 배우게 됩니다.",목표: - 웹 응용 프로그램 개발을 위한 가장 중요한 기술에 대한 심층적이고 비판적이며 체계적인 이해를 학생에게 제공합니다. - 이러한 기술이 오늘날의 웹 사이트에서 어떻게 사용되는지 보여줍니다. - 우수한 웹 사이트 설계 원칙의 특성에 대한 지식을 제공합니다.,"사이트, 4/제공, 3/학생, 2/사용, 2/방법, 2/기술, 2/"
23,9806001,운영체제,황효석,95.7,AI·소프트웨어학부(소프트웨어전공),전공,,이 강좌의 목표는 현대 운영 체제의 내부 작동에 대한 소개를 제공하는 것입니다.',"운영 체제의 기본 개념 학습 프로세스 및 스레드, 상호 제외, CPU 스케줄링, 교착 상태, 메모리 관리 및 파일 시스템 등 운영 체제의 다양한 하위 시스템을 학습합니다. Linux OS의 통합 및 사용법을 소개합니다.","운영 체제, 3/소개, 2/학습, 2/"
24,9806003,운영체제,정윤현,95.6,AI·소프트웨어학부(인공지능전공),전공,,이 강좌의 목표는 최신 운영 체제의 내부 작동에 대한 소개를 제공하는 것입니다.,"운영 체제의 기본 개념 학습 프로세스 및 스레드, 상호 제외, CPU 스케줄링, 교착 상태, 메모리 관리 및 파일 시스템 등 운영 체제의 다양한 하위 시스템을 학습합니다. Linux OS의 개념 및 사용법을 소개합니다.","운영 체제, 3/소개, 2/개념, 2/학습, 2/"
25,9656001,웹프로그래밍,이상웅,90.6,AI·소프트웨어학부(소프트웨어전공),전공,,"이 과정에서는 학생들에게 HTML(Hyper TextMarkup Language), CSS(Cascading Style Sheet), JavaScript 및 PHP 코딩 실습에 대한 포괄적인 마스터를 제공합니다. 여러분은 그것들을 적절하게 사용하는 방법과 유연하고, 사용자 친화적이며, 강력한 웹사이트를 만들기 위해 그것들을 결합하는 방법을 배울 것입니다.",목표: - 웹 응용 프로그램 개발을 위한 가장 중요한 기술에 대한 심층적이고 비판적이며 체계적인 이해를 학생에게 제공합니다. - 이러한 기술이 오늘날의 웹 사이트에서 어떻게 사용되는지 보여줍니다. - 우수한 웹 사이트 설계 원칙의 특성에 대한 지식을 제공합니다.,"제공, 3/학생, 2/사용, 2/방법, 2/기술, 2/사이트, 2/"
26,9656003,웹프로그래밍,강상우,93.0,AI·소프트웨어학부(소프트웨어전공),전공,,"이 과정에서는 학생들에게 HTML(Hyper TextMarkup Language), CSS(Cascading Style Sheet), JavaScript 및 PHP 코딩 실습에 대한 포괄적인 마스터를 제공합니다. 이러한 웹 사이트를 적절하게 사용하는 방법과 유연하고 사용자 친화적이며 강력한 웹 사이트를 구축하는 방법을 배우게 됩니다.",목표: - 웹 응용 프로그램 개발을 위한 가장 중요한 기술에 대한 심층적이고 비판적이며 체계적인 이해를 학생에게 제공합니다. - 이러한 기술이 오늘날의 웹 사이트에서 어떻게 사용되는지 보여줍니다. - 우수한 웹 사이트 설계 원칙의 특성에 대한 지식을 제공합니다.,"사이트, 4/제공, 3/학생, 2/사용, 2/방법, 2/기술, 2/"
27,11852001,졸업작품1,정윤현,97.4,AI·소프트웨어학부(인공지능전공),전공,,지도교수 지도 하에 조별 프로젝트 수행,"1. 소프트웨어 설계, 개발, 테스트, 문서화 등의 전반적인 flow에 대한 경험 습득 2. 심화기술 지식 습득 3. 팀 프로젝트 경험 습득","습득, 3/지도, 2/프로젝트, 2/경험, 2/"
28,11852001,졸업작품1,노웅기,96.6,AI·소프트웨어학부(소프트웨어전공),전공,,지도교수 지도 하에 조별 프로젝트 수행,"1. 소프트웨어 설계, 개발, 테스트, 문서화 등의 전반적인 flow에 대한 경험 습득 2. 심화기술 지식 습득 3. 팀 프로젝트 경험 습득","습득, 3/지도, 2/프로젝트, 2/경험, 2/"
29,11852001,졸업작품1,정옥란,99.6,AI·소프트웨어학부(소프트웨어전공),전공,,지도교수 지도 하에 조별 프로젝트 수행,"1. 소프트웨어 설계, 개발, 테스트, 문서화 등의 전반적인 flow에 대한 경험 습득 2. 심화기술 지식 습득 3. 팀 프로젝트 경험 습득","습득, 3/지도, 2/프로젝트, 2/경험, 2/"
30,11852002,졸업작품1,정용주,98.6,AI·소프트웨어학부(소프트웨어전공),전공,,x,x,
31,11852002,졸업작품1,이상웅,98.4,AI·소프트웨어학부(소프트웨어전공),전공,,x,x,
32,11852002,졸업작품1,황효석,98.4,AI·소프트웨어학부(소프트웨어전공),전공,,x,x,
33,11852003,졸업작품1,최재영,93.6,AI·소프트웨어학부(인공지능전공),전공,,- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다 - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
34,11852003,졸업작품1,강상우,97.0,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다 - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
35,11852003,졸업작품1,한명묵,87.2,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다 - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
36,11852004,졸업작품1,이주형,98.2,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
37,11852004,졸업작품1,조정찬,98.2,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
38,11852004,졸업작품1,최재혁,97.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
39,12948004,졸업작품Ⅲ,조정찬,98.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
40,12948001,졸업작품Ⅲ,정옥란,98.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"'- 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","습득, 3/진행, 2/프로젝트, 2/경험, 2/"
41,12948001,졸업작품Ⅲ,노웅기,98.4,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"'- 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","습득, 3/진행, 2/프로젝트, 2/경험, 2/"
42,12948001,졸업작품Ⅲ,정윤현,99.8,AI·소프트웨어학부(인공지능전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"'- 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","습득, 3/진행, 2/프로젝트, 2/경험, 2/"
43,12948002,졸업작품Ⅲ,이상웅,96.0,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
44,12948002,졸업작품Ⅲ,정용주,94.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
